,Sign,Type
0,./lenet_images/--7fWq6WjZM8L1eUSuvOEA_0.jpg,regulatory--keep-right--g1
1,./lenet_images/--7fWq6WjZM8L1eUSuvOEA_1.jpg,regulatory--priority-over-oncoming-vehicles--g1
2,./lenet_images/--7fWq6WjZM8L1eUSuvOEA_2.jpg,other-sign
3,./lenet_images/--7fWq6WjZM8L1eUSuvOEA_3.jpg,regulatory--height-limit--g1
4,./lenet_images/--A4b2SOWVi4KL_ryAAtTg_0.jpg,regulatory--maximum-speed-limit-35--g2
5,./lenet_images/--A4b2SOWVi4KL_ryAAtTg_1.jpg,other-sign
6,./lenet_images/--A4b2SOWVi4KL_ryAAtTg_2.jpg,other-sign
7,./lenet_images/--A4b2SOWVi4KL_ryAAtTg_3.jpg,other-sign
8,./lenet_images/--A4b2SOWVi4KL_ryAAtTg_4.jpg,other-sign
9,./lenet_images/--A4b2SOWVi4KL_ryAAtTg_5.jpg,other-sign
10,./lenet_images/--FValmNpFJ8yo8X7uWODA_0.jpg,other-sign
11,./lenet_images/--FValmNpFJ8yo8X7uWODA_1.jpg,other-sign
12,./lenet_images/--FValmNpFJ8yo8X7uWODA_2.jpg,other-sign
13,./lenet_images/--L1OMr84-e5nOLbNH5sBA_0.jpg,warning--railroad-crossing-with-barriers--g1
14,./lenet_images/--L1OMr84-e5nOLbNH5sBA_1.jpg,other-sign
15,./lenet_images/--L1OMr84-e5nOLbNH5sBA_2.jpg,other-sign
16,./lenet_images/--taWRWc4f2YUe5w1q9Qew_0.jpg,other-sign
17,./lenet_images/--tczNya4_w5IhU9DeRMHw_0.jpg,warning--curve-left--g2
18,./lenet_images/--USokD3k9HzZbwzNZntiQ_0.jpg,other-sign
19,./lenet_images/--USokD3k9HzZbwzNZntiQ_1.jpg,warning--falling-rocks-or-debris-right--g1
20,./lenet_images/--vWKSR3Rh8quTfK4AuKOQ_0.jpg,other-sign
21,./lenet_images/--vWKSR3Rh8quTfK4AuKOQ_1.jpg,other-sign
22,./lenet_images/--vWKSR3Rh8quTfK4AuKOQ_2.jpg,other-sign
23,./lenet_images/--vWKSR3Rh8quTfK4AuKOQ_3.jpg,other-sign
24,./lenet_images/--vWKSR3Rh8quTfK4AuKOQ_4.jpg,other-sign
25,./lenet_images/--vWKSR3Rh8quTfK4AuKOQ_5.jpg,other-sign
26,./lenet_images/--vWKSR3Rh8quTfK4AuKOQ_6.jpg,regulatory--keep-right--g4
27,./lenet_images/--vWKSR3Rh8quTfK4AuKOQ_7.jpg,other-sign
28,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_0.jpg,warning--pedestrians-crossing--g4
29,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_1.jpg,other-sign
30,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_2.jpg,other-sign
31,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_3.jpg,other-sign
32,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_4.jpg,other-sign
33,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_5.jpg,other-sign
34,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_6.jpg,complementary--go-right--g2
35,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_7.jpg,complementary--keep-left--g1
36,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_8.jpg,other-sign
37,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_9.jpg,other-sign
38,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_10.jpg,other-sign
39,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_11.jpg,other-sign
40,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_12.jpg,other-sign
41,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_13.jpg,other-sign
42,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_14.jpg,regulatory--maximum-speed-limit-45--g3
43,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_15.jpg,complementary--chevron-right--g3
44,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_16.jpg,regulatory--one-way-right--g2
45,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_17.jpg,regulatory--yield--g1
46,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_18.jpg,regulatory--yield--g1
47,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_19.jpg,regulatory--yield--g1
48,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_20.jpg,other-sign
49,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_21.jpg,warning--pedestrians-crossing--g4
50,./lenet_images/--yfp7vRX6P9KIETw9QdRQ_22.jpg,other-sign
51,./lenet_images/--zM9JXM7e2uVsRfC-c_Tg_0.jpg,other-sign
52,./lenet_images/-045ksJVc_QDsaI8gpCrzg_0.jpg,other-sign
53,./lenet_images/-0BXQnPOeVpklWx23Caxaw_0.jpg,other-sign
54,./lenet_images/-0BXQnPOeVpklWx23Caxaw_1.jpg,other-sign
55,./lenet_images/-0BXQnPOeVpklWx23Caxaw_2.jpg,other-sign
56,./lenet_images/-0BXQnPOeVpklWx23Caxaw_3.jpg,other-sign
57,./lenet_images/-0BXQnPOeVpklWx23Caxaw_4.jpg,other-sign
58,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_0.jpg,other-sign
59,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_1.jpg,other-sign
60,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_2.jpg,regulatory--one-way-straight--g1
61,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_3.jpg,other-sign
62,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_4.jpg,other-sign
63,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_5.jpg,other-sign
64,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_6.jpg,other-sign
65,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_7.jpg,other-sign
66,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_8.jpg,regulatory--one-way-straight--g1
67,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_9.jpg,complementary--chevron-right--g3
68,./lenet_images/-0C1J9CvgFP4BTVLXNeNZA_10.jpg,warning--curve-right--g1
69,./lenet_images/-0c_X2o4E_Q38fWHFWAvqg_0.jpg,regulatory--pedestrians-only--g2
70,./lenet_images/-0c_X2o4E_Q38fWHFWAvqg_1.jpg,information--emergency-facility--g2
71,./lenet_images/-0c_X2o4E_Q38fWHFWAvqg_2.jpg,other-sign
72,./lenet_images/-0c_X2o4E_Q38fWHFWAvqg_3.jpg,other-sign
73,./lenet_images/-0c_X2o4E_Q38fWHFWAvqg_4.jpg,other-sign
74,./lenet_images/-0c_X2o4E_Q38fWHFWAvqg_5.jpg,other-sign
75,./lenet_images/-0DCdoveCiKUkxBe-xZDmg_0.jpg,other-sign
76,./lenet_images/-0DCdoveCiKUkxBe-xZDmg_1.jpg,other-sign
77,./lenet_images/-0DCdoveCiKUkxBe-xZDmg_2.jpg,other-sign
78,./lenet_images/-0DCdoveCiKUkxBe-xZDmg_3.jpg,other-sign
79,./lenet_images/-0DCdoveCiKUkxBe-xZDmg_4.jpg,other-sign
80,./lenet_images/-0G6gt8ksR0hO5jMKrTDMw_0.jpg,other-sign
81,./lenet_images/-0G6gt8ksR0hO5jMKrTDMw_1.jpg,other-sign
82,./lenet_images/-0G6gt8ksR0hO5jMKrTDMw_2.jpg,other-sign
83,./lenet_images/-0G6gt8ksR0hO5jMKrTDMw_3.jpg,regulatory--keep-right--g4
84,./lenet_images/-0G6gt8ksR0hO5jMKrTDMw_4.jpg,other-sign
85,./lenet_images/-0G6gt8ksR0hO5jMKrTDMw_5.jpg,regulatory--no-entry--g1
86,./lenet_images/-0GQmYRienNVqEKiQ0Mkyw_0.jpg,other-sign
87,./lenet_images/-0GQmYRienNVqEKiQ0Mkyw_1.jpg,other-sign
88,./lenet_images/-0GQmYRienNVqEKiQ0Mkyw_2.jpg,other-sign
89,./lenet_images/-0GQmYRienNVqEKiQ0Mkyw_3.jpg,other-sign
90,./lenet_images/-0GQmYRienNVqEKiQ0Mkyw_4.jpg,other-sign
91,./lenet_images/-0GQmYRienNVqEKiQ0Mkyw_5.jpg,other-sign
92,./lenet_images/-0GQmYRienNVqEKiQ0Mkyw_6.jpg,other-sign
93,./lenet_images/-0GQmYRienNVqEKiQ0Mkyw_7.jpg,other-sign
94,./lenet_images/-0hwJDQZgLXvIw_VwI1VDQ_0.jpg,other-sign
95,./lenet_images/-0hwJDQZgLXvIw_VwI1VDQ_1.jpg,other-sign
96,./lenet_images/-0hwJDQZgLXvIw_VwI1VDQ_2.jpg,other-sign
97,./lenet_images/-0hwJDQZgLXvIw_VwI1VDQ_3.jpg,other-sign
98,./lenet_images/-0iIhj9Oc7tOo-ydUgveRA_0.jpg,warning--railroad-crossing--g3
99,./lenet_images/-0iIhj9Oc7tOo-ydUgveRA_1.jpg,other-sign
100,./lenet_images/-0oqTZyDwf6SJlJXaHSTVg_0.jpg,warning--pedestrians-crossing--g5
101,./lenet_images/-0oqTZyDwf6SJlJXaHSTVg_1.jpg,other-sign
102,./lenet_images/-0oqTZyDwf6SJlJXaHSTVg_2.jpg,regulatory--no-entry--g1
103,./lenet_images/-0oqTZyDwf6SJlJXaHSTVg_3.jpg,other-sign
104,./lenet_images/-0P1ML3jD1-MpPHj_Ptm2A_0.jpg,other-sign
105,./lenet_images/-0P1ML3jD1-MpPHj_Ptm2A_1.jpg,warning--crossroads--g3
106,./lenet_images/-0qK5SEHDldCcM9PJdgL_g_0.jpg,other-sign
107,./lenet_images/-0qK5SEHDldCcM9PJdgL_g_1.jpg,other-sign
108,./lenet_images/-0Txw7Y3Vybe9RvXLJXDiw_0.jpg,other-sign
109,./lenet_images/-0zd9UVk577mVT2hpqPEEQ_0.jpg,other-sign
